"grdc_no","river","station","country","lat","long","area"
6233210,"BIVAROEDSAN","BIVAROEDSMOELLA","SE",56.1789,14.1616,209
6233220,"TAENNAN","TAENNDALEN","SE",62.5368,12.3481,227
6233221,"LJUSNAN","LJUSNE STROEMMAR KRV","SE",61.2123,17.0804,19817
6233222,"TAENNAN","LILLGLAEN","SE",62.6388,12.1272,65
6233227,"LJUSNAN","LJUSNEDAL OEVRE","SE",62.548,12.6015,340
6233230,"HOERLINGEAN","HOERLINGE","SE",56.1857,13.6839,203
6233250,"HELGE A","TORSEBRO KRV (POWERSTATION)","SE",56.103,14.1294,3664
6233350,"ALSTERAN","GETEBRO","SE",57.0091,16.1627,1333
6233360,"EMAN","EMSFORS BRUK","SE",57.1426,16.4509,4446
6233366,"SOLGENAN","SKAERSBODA","SE",57.5785,14.8633,157
6233367,"SEGE A","SVEDALA","SE",55.5056,13.2372,52
6233400,"FYRSJOEN","FYRAS","SE",63.517,15.3895,2428
6233401,"INDALSAELVEN","BERGEFORSENS KRV","SE",62.5197,17.3874,25761
6233410,"MAELAREN","OEVRE STOCKHOLM","SE",59.3033,18.0767,22639
6233450,"ANKARVATTNET","ANKARVATTNET","SE",64.8767,14.2219,428
6233460,"AECKLINGEN","AECKLINGEN","SE",63.7382,13.011,156
6233465,"MEDSTUGUAN","MEDSTUGAN NEDRE","SE",63.5235,12.3947,224
6233470,"HARKAN","RENGEN","SE",64.0699,14.0955,1110
6233500,"JOVATTSAN","NEDRE JOVATTNET","SE",65.74,15.05,356
6233502,"UMEAELVEN","STORNORRFORS KRV","SE",63.8535,20.0488,26568
6233510,"VINDELAELVEN","GRANAKER","SE",64.24,19.6662,11850
6233520,"TAERNAAN","SOLBERG","SE",65.7482,15.3914,1081
6233530,"TAENGVATTSBAECKEN","TAENGVATTNET","SE",65.8373,14.8338,195
6233550,"KASSJOEAN","STORSILLRET","SE",62.6619,16.2898,164
6233551,"LJUNGAN","SKALLBOELE KRV","SE",62.3636,16.9619,12088
6233600,"VATTHOLMAAN","VATTHOLMA 2","SE",60.0196,17.7306,294
